Area,Key,Original,Translation
about,title,关于服务,
about,para1,PASA服务是PascalCoin基金会提供的免费服务。 它允许您获得免费的PASA帐户。,
about,para2,PASA成功发送后，号码将在服务器上保存（散列）。 如果验证失败，将在1小时后自动删除。,
about,para3,"它使用twilio作为短信服务提供商。 有关此服务的更多信息，请参阅 <a href=""https://www.twilio.com"" target=""_blank"">Twilio主页.</a>",
about,para4,"该服务的源代码是开源的，可访问的 <a href=""https://github.com/Techworker/freepasa.org"">这里</a>.",
about,back,返回首页,
index,err_1,您的关联帐户不正确,
index,err_2,关联帐户无效 %s,
index,err_3,"您的请求已被取消以防垃圾邮件，请重新提交,不要刷新页面。如果此错误再次出现，请检查确保启用了cookie.",
index,err_4,无效的电话号码.,
index,err_5,选择的国家/地区无效,
index,err_6,"之前使用过公钥. <a href=""%s"">单击此处查看分发的PASA.</a>",
index,err_7,公钥已经存在 %s PASA分配。 此服务适用于尚未拥有PASA(账户)的用户。,
index,err_8,您提供的公钥无效。 请再检查一次.,
index,err_9,您尝试输入代码超过3次，但从未提供正确的代码。 1小时后再试一次.,
index,err_10,不明原因，找不到您试图访问的页面。再试一次.,
index,title,PascalCoin官方账户分配,
index,subtitle,我们有 %s 可用于支付!,
index,intro_1,请输入您的电话号码和公钥，然后按照说明获取免费的PascalCoin Pasa帐户。我们将向您提供的电话号码发送验证码.,
index,intro_more,"有关隐私问题的更多信息，请参阅 <a href=""%s"">这里</a>.",
index,err_11,发生错误，请参阅以下消息.,
index,err_wait,反复请求提交的电话号码，但您输入的代码至少错误3次。 1小时后请再试.,
index,err_ver,"您的电话号码正在被请求中. <a href=""%s"">点击这里</a> 转到验证页面.",
index,err_submit,"您的电话号码正在被请求中. <a href=""%s"">点击这里</a> 转到提交页面.",
index,err_pasa_used,"此号码已用于成功获得1个PASA. <a href=""%s"">点击这里</a> 查看信息.",
index,country_code,国家代码,
index,phone,电话号码,
index,base58,Base58公钥,
index,send,发送验证码,
index,insert_pubkey_here,在这里填入您的公钥…(BASE58)),
imprint,title,版权说明,
imprint,text,"PascalCoin社区基金会 - <a href=""https://www.pascalcoin.org"">https://www.pascalcoin.org</a>",
submit,title,输入您的验证码,
submit,para_1,请确保填入的电话号码以及公钥无误。我们将发送一个四位数的验证码:,
submit,para_2,如果验证成功，系统将把1各 PASA（账户）发送到以下公钥:,
submit,send,发送验证码,
affiliate,title,关联 &amp; 集成,
affiliate,para_1,%s 运行这个关联程序，你可以通过链接到此页面，您可以使用该程序来获取一些PascalCoin.,
affiliate,payout,付款金额为 %s 目前，每个成功分发的pasa的pasc。此值在将来可能会有所不同，不再另行通知.,
affiliate,notice,只要有资金可以运行，联属计划就处于活动状态。也可能在不另行通知的情况下关闭.,
affiliate,min,"赚取金钱所需的最小参数是 <code style=""显示: inline-block"">afac</code> 参数。一旦成功分发了一个PASA，奖励将发送到的帐户。.",
affiliate,follow,下表描述了可用于请求的所有可用参数.,
affiliate,param,参数,
affiliate,desc,描述,
affiliate,afac_desc,如果帐户转移成功，将向其中发送一定数量的PASC。将其读取为关联帐号. <strong>请省略校验和</strong>.,
affiliate,origin_desc,此值供内部用于创建统计信息。 您可以使用您想要的任何值，但请在每个请求中使用相同的原始值.,
affiliate,lb,链接生成器,
affiliate,aan,关联帐户,
affiliate,origin,来源,
affiliate,copy,复制到剪贴板,
affiliate,try,试一试,
disclaimer,title,免责声明,
disclaimer,text,"
        <h2>常规</h2>
        <p>这是一项免费服务。如果出现技术问题或资金不足，访客在问题解决前无权获得任何东西。.</p>
        <h2>加入</h2>
        <p>只要有可用于运行它的资金，联盟计划就是有效的。 它可以关闭，不再另行通知.</p>
        <h2>Cookies</h2>
        <p>此页面使用cookie来保护页面免受CRSF攻击。 它不包含任何个人信息.</p>
        <h2>隐私</h2>
        <p>您的电话号码将传送到twilio.com，以提供短信验证服务.</p>
        <p>如果您的验证成功，您的电话号码将被哈希处理，并且不能再被取消哈希处理.</p>
        <p>哈希电话号码将用于检测重复请求尝试.</p>
        <p>如果取消进程或进程失败，您的电话号码将在1小时后删除。.</p>
        <h2>其它</h2>
        <p>由于这是免费服务，请与开发商联系。 谢谢.</p>",
success,title,祝贺你,
success,sent,PASA <strong>%s</strong> 已发送到提交的公钥.,
success,mined,它是分段开采的 %s.,
success,next,当下一个街区被开采时，它将可用(5分钟内).,
success,also,我们也发送 <strong>%s PASC</strong> 到你的帐户.,
success,refresh,刷新页面,
success,redirect,您的服务请求重新定向。单击按钮以重新定向:,
success,redirect_title,重新定向,
success,discord,加入PascalCoin的Discord!,
success,tx_details,交易详细信息:,
success,phone,电话:,
success,pasa,PASA:,
success,date,日期:,
success,pubkey,公钥:,
success,block,区块:,
success,ophash,操作哈希:,
success,view_pasa,区块浏览器中查看PASA,
success,not_mined,块还没有开采,
success,view_explorer,在区块浏览器中查看块,
success,view_op_explorer,在区块浏览器中查看操作,
developers,title,开发者集成,
developers,intro,%s 可用于用户获取免费的PASA。 它可以被交易所或钱包开发者或任何其它需要其用户拥有PascalCoin账户的PascalCoin相关软件使用.,
developers,following,下表描述了可用于请求的所有可用参数 %s.,
developers,column_param,参数,
developers,column_description,描述,
developers,afac,"如果帐户转移成功，将向其中发送一定数量PASC的帐号。将其读取为关联帐号. <strong>请省略校验和</strong>. 查看 <a href=""%s"">Affilitate页面</a> 更多信息.",
developers,origin,此值供内部用于创建统计信息。您可以使用您想要的任何值，但请在每个请求中使用相同的原始值.,
developers,phone_country_iso,"与电话号码相关用户的2个字母的大写ISO 3166国家/地区代码 (选择正确的手机区域代码). 点击 <a href=""https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">这里</a> 获取可用代码列表.",
developers,phone_country_number,"电话号码的国际国家/地区呼叫代码。例如1代表美国，49代表德国等等. 点击 <a href=""https://en.wikipedia.org/wiki/List_of_country_calling_codes"">这里</a> 完整的代码列表.",
developers,please_use,"请使用 <code style=""显示: inline-block"">电话_国家_iso</code> 或 <code style=""显示: inline-block"">电话_国家_编号</code> 不要同时使用两者.",
developers,phone,"用户的电话号码, <strong>没有</strong> 任何国家的信息.",
developers,public_key,用户的公钥.Pasa帐户将被转移到该密钥.,
developers,state,内部状态值，以确保返回的请求来自您，就像OAuth2状态一样.,
developers,redirect,在向用户分配pasa帐户后将用户重新定向到的URL.,
developers,link_builder,链接生成器,
developers,label_afac,关联帐号,
developers,label_origin,起源,
developers,label_phone_country_iso,电话国家ISO代码,
developers,label_phone_country_number,电话国际代码,
developers,label_phone_number,电话号码,
developers,label_public_key,公钥,
developers,label_state,状态,
developers,label_redirect,重新定向URL,
developers,clipboard,复制到剪贴板,
developers,try_it,试一试,
global,block,区块,
global,page_title,PascalCoin帐户分发服务,
global,page_description,PascalCoin账户分配服务.获得免费的PASA并开始使用PascalCoin.,
global,discord,在Discord上加入PascalCoin社区！ 点击这里!,
global,digitalocean,[Affiliate] 网站托管在digitalocean.com上。 尝试一下，帮助托管这项服务.,
global,footer_imprint,版权说明,
global,footer_disclaimer,放弃,
global,footer_affiliate,加入,
global,footer_developers,开发人员,